Vial,Treatment,Rep,AgeBin,Remating,MatingDay1,Date,Temperature,Humidity,StartTime
1,LTP,1,1,0,1,7/13/14,23,63,9:07
2,LTP,2,1,1,0,7/13/14,23,63,9:07
3,LTP,3,1,0,0,7/13/14,23,63,9:07
4,LTP,4,1,1,1,7/13/14,23,63,9:07
5,LTS,1,1,0,0,7/13/14,23,63,9:07
6,LTS,2,1,0,0,7/13/14,23,63,9:07
7,LTS,3,1,0,0,7/13/14,23,63,9:07
8,LTS,4,1,0,0,7/13/14,23,63,9:07
9,LTC,1,1,0,0,7/13/14,23,63,9:07
10,LTC,2,1,0,0,7/13/14,23,63,9:07
11,LTC,3,1,0,0,7/13/14,23,63,9:07
12,LTC,4,1,0,0,7/13/14,23,63,9:07
13,LTP,1,2,1,1,7/13/14,23,63,9:07
14,LTP,2,2,0,0,7/13/14,23,63,9:07
15,LTP,3,2,0,1,7/13/14,23,63,9:07
16,LTP,4,2,0,0,7/13/14,23,63,9:07
17,LTS,1,2,0,1,7/13/14,23,63,9:07
18,LTS,2,2,0,1,7/13/14,23,63,9:07
19,LTS,3,2,0,1,7/13/14,23,63,9:07
20,LTS,4,2,0,1,7/13/14,23,63,9:07
21,LTC,1,2,0,1,7/13/14,23,63,9:07
22,LTC,2,2,0,1,7/13/14,23,63,9:07
23,LTC,3,2,0,0,7/13/14,23,63,9:07
24,LTC,4,2,0,1,7/13/14,23,63,9:07
25,LTP,1,3,0,1,7/13/14,23,63,9:07
26,LTP,2,3,0,0,7/13/14,23,63,9:07
27,LTP,3,3,0,1,7/13/14,23,63,9:07
29,LTS,1,3,1,1,7/13/14,23,63,9:07
30,LTS,2,3,0,1,7/13/14,23,63,9:07
31,LTS,3,3,0,1,7/13/14,23,63,9:07
32,LTS,4,3,0,1,7/13/14,23,63,9:07
33,LTC,1,3,0,1,7/13/14,23,63,9:07
34,LTC,2,3,0,0,7/13/14,23,63,9:07
35,LTC,3,3,0,0,7/13/14,23,63,9:07
36,LTC,4,3,0,1,7/13/14,23,63,9:07
