Time,medNND_px,meanNND_px,Treatment,Population,Sex,Day,Box,Diameter,medianNNDscaled_mm,meanNNDscaled_mm
15,55.811819,54.73843,0,2,2,1,2,484,10.37823081,10.17863368
45,47.507894,55.43172,0,2,2,1,2,484,8.834112521,10.30755124
75,54.083269,69.536753,0,2,2,1,2,484,10.05680622,12.93038795
105,67.446275,67.59311,0,2,2,1,2,484,12.54166271,12.56896674
135,49.171353,55.607682,0,2,2,1,2,484,9.143433409,10.34027145
165,59.96864,57.434541,0,2,2,1,2,484,11.15119339,10.67997663
195,35.166697,46.305534,0,2,2,1,2,484,6.539261839,8.610533182
225,44.418465,52.59868,0,2,2,1,2,484,8.259631921,9.780746281
255,29.221463,43.428286,0,2,2,1,2,484,5.43374312,8.075507727
285,33.376639,47.066865,0,2,2,1,2,484,6.206399814,8.752102996
315,37.377524,50.715826,0,2,2,1,2,484,6.950366033,9.430628802
345,46.209519,48.470583,0,2,2,1,2,484,8.592679153,9.013124938
375,47.679434,49.185275,0,2,2,1,2,484,8.866010455,9.146022211
405,66.483081,52.458501,0,2,2,1,2,484,12.36255638,9.754679938
435,42.466314,61.528207,0,2,2,1,2,484,7.896628636,11.44119552
465,48.688034,49.340967,0,2,2,1,2,484,9.053560041,9.174973202
495,44.408871,51.618642,0,2,2,1,2,484,8.257847913,9.59850781
525,49.769469,62.151828,0,2,2,1,2,484,9.254653326,11.5571581
555,49.261622,51.957503,0,2,2,1,2,484,9.160218967,9.661519153
585,33.977325,55.868788,0,2,2,1,2,484,6.318097624,10.38882421
615,38.832976,59.821795,0,2,2,1,2,484,7.221007934,11.1238875
645,37.867962,58.867692,0,2,2,1,2,484,7.041563182,10.94647165
675,41.231056,52.582402,0,2,2,1,2,484,7.666931901,9.77771938
705,35.468296,42.857,0,2,2,1,2,484,6.595344298,7.96927686
735,44.72136,48.175469,0,2,2,1,2,484,8.315955372,8.958248368
765,31.64112,43.037316,0,2,2,1,2,484,5.883679339,8.002806694
795,45.757719,56.61277,0,2,2,1,2,484,8.508666756,10.52716798
825,47.435221,53.15497,0,2,2,1,2,484,8.820598946,9.884188636
855,36.198377,56.096184,0,2,2,1,2,484,6.731103161,10.4311086
885,36.454792,44.710499,0,2,2,1,2,484,6.778783636,8.313935764
915,69.46222,65.948048,0,2,2,1,2,484,12.91652851,12.26306678
945,44.94441,51.839923,0,2,2,1,2,484,8.357431612,9.639655103
975,34.156853,40.276527,0,2,2,1,2,484,6.35148093,7.489436839
1005,44.409837,50.262587,0,2,2,1,2,484,8.258027541,9.346348822
1035,31.064449,43.973822,0,2,2,1,2,484,5.776447128,8.176950372
1065,62.625873,61.651055,0,2,2,1,2,484,11.64530696,11.46403915
1095,39.111706,41.56423,0,2,2,1,2,484,7.272837893,7.728885744
1125,37.880931,37.287447,0,2,2,1,2,484,7.043974773,6.933616178
1155,39.59798,46.509657,0,2,2,1,2,484,7.363260744,8.648489938
1185,37.519449,50.624825,0,2,2,1,2,484,6.976757045,9.413707128
1215,36.090148,51.616399,0,2,2,1,2,484,6.710977934,9.598090723
1245,47.208293,57.978053,0,2,2,1,2,484,8.778401591,10.78104291
1275,35.386946,49.993867,0,2,2,1,2,484,6.580217231,9.296380227
1305,73.287154,67.699092,0,2,2,1,2,484,13.62777657,12.58867413
1335,34.82815,48.897623,0,2,2,1,2,484,6.476308884,9.092533202
1365,66.568884,61.16245,0,2,2,1,2,484,12.37851149,11.37318285
1395,41.430672,52.80417,0,2,2,1,2,484,7.704050579,9.818957231
1425,48.148191,53.186246,0,2,2,1,2,484,8.953176012,9.890004421
1455,52.497619,57.979668,0,2,2,1,2,484,9.761953946,10.78134322
1485,39.849433,48.7173,0,2,2,1,2,484,7.410018533,9.059002066
1515,47.144356,54.267062,0,2,2,1,2,484,8.766512479,10.0909826
1545,40.100948,51.262001,0,2,2,1,2,484,7.456787851,9.532190269
1575,34.132096,51.519183,0,2,2,1,2,484,6.346877355,9.580013368
1605,48.104054,47.633145,0,2,2,1,2,484,8.944968719,8.857402996
1635,35.811992,54.172112,0,2,2,1,2,484,6.659254711,10.07332661
1665,46.872167,59.121396,0,2,2,1,2,484,8.715898822,10.99364802
1695,66.370174,63.525405,0,2,2,1,2,484,12.34156128,11.81257531
1725,54.230987,54.846597,0,2,2,1,2,484,10.08427444,10.19874738
1755,48.166378,49.550305,0,2,2,1,2,484,8.956557893,9.21389969
1785,46.374474,49.048995,0,2,2,1,2,484,8.623352603,9.120680888
15,43.287364,65.426667,0,2,1,1,2,486,8.016178519,12.11604944
45,42.878044,55.322187,0,2,1,1,2,486,7.940378519,10.24484944
75,43.680659,52.775244,0,2,1,1,2,486,8.089010926,9.773193333
105,25.495098,38.908342,0,2,1,1,2,486,4.721314444,7.205248519
135,41.677332,50.718906,0,2,1,1,2,486,7.718024444,9.39239
165,62.880876,60.991122,0,2,1,1,2,486,11.64460667,11.29465222
195,65.980408,62.132207,0,2,1,1,2,486,12.21859407,11.50596426
225,58.309519,51.694013,0,2,1,1,2,486,10.79805907,9.57296537
255,55.172457,58.027283,0,2,1,1,2,486,10.21712167,10.74579315
285,45.829781,62.521748,0,2,1,1,2,486,8.486996481,11.57810148
315,59.076222,61.799536,0,2,1,1,2,486,10.94004111,11.44435852
345,55.081757,50.54743,0,2,1,1,2,486,10.20032537,9.360635185
375,35.846897,47.376647,0,2,1,1,2,486,6.638314259,8.773453148
